// Byczyna				-1588 
// smierc Jana III Wazy			-1592
// koronacja Borysa Godunowa 		-1598
Wielka Smuta 				-1598-1613
detronizacja w Szwecji 			-1599
koronacja Karola IX Sudermanskiego 	-1604
Bialy Kamien 				-1604
Dymitriady				-1604
Kircholm  				-1605
rokosz Mikolaja Zebrzydowskiego 	-1606
Guzow 					-1607 
Kluszyn 				-1610 
rozejm w Dywilinie 			-1619
lennik turecki oblega Wieden 		-1619
wypowiedzenie wojny przez Turcje 	-1620
bitwa pod Cecorą			-1620
bitwa pod Chocimem 			-1621
Gniew 					-1626 
Oliwa 					-1627
Czarne 					-1627
Trzciana  				-1629
rozejm w Altmarku			-1629
śmierć Zygmunta 			-1632
wojna smolenska 			-1632-1634
pokoj w Polanowie 			-1634
rozejm w Sztumskiej Wsi 		-1635
powstanie Chmielnickiego 		-1648
smierc Wladyslawa IV 			-1648
bitwa Zolte Wody 			-1648
bitwa Korsun 				-1648
obrona Zbarazu 				-1649
ugoda zborowska 			-1649
bitwa pod Beresteczkiem 		-1651
bitwa Biala Cerkiew 			-1651
bitwa pod Batohem 			-1652
liberum veto				-1652 Wladyslaw Sicinski 
ugoda zwaniecka 			-1653
ugoda w Perejaslawiu 			-1654
traktat rozbiorowy w Radnot 		-1656
sluby lwowskie 				-1656
smierc Chmielnickiego 			-1657
unia w Hadziaczu 			-1658
bitwa pod Polonka i Cudnowem 		-1660
rokosz Lubomirskiego 			-1665
bitwa pod Matwami 			-1666
rozejm w Andruszowie 			-1667
abdykacja Jana Kazimierza 		-1668
pokoj Grzymultowskiego 			-1686


pod Batohem zginal... 				-Marek Sobieski
Bohdan Chmielnicki toczyl spor z... 		-Danielem Czaplinskim
zona dwoch krolow byla... 			-Ludwika Maria Gonzaga



